id,productId,projection,dimensions,scale,detail,isDiscontinued
1,1,,"Large (17x22"" to 24x36"")",,,
2,2,,"Medium (11x14"" to 16x20"")",,,
3,3,,"Large (17x22"" to 24x36"")",,,
4,5,,"Extra Large (Larger than 24x36"")",,,
5,6,,"Extra Large (Larger than 24x36"")",,,
6,7,,"Extra Large (Larger than 24x36"")",,,
7,8,,"Small (Up to 8x10"")",,,
8,10,,,,,
9,11,,,,,
10,12,,"Extra Large (Larger than 24x36"")",,,
11,13,,,,,
12,15,,,,,
13,17,,"Large (17x22"" to 24x36"")",,,
14,19,,"Extra Large (Larger than 24x36"")",,,
15,20,,"Large (17x22"" to 24x36"")",,,
16,25,,"Medium (11x14"" to 16x20"")",,,
17,26,,"Large (17x22"" to 24x36"")",,,
18,27,,"Extra Large (Larger than 24x36"")",,,
19,28,,"Large (17x22"" to 24x36"")",,,
20,29,,,,,
